,loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
34901,Charged Off,95290.0,Not Verified,5 years,MORTGAGE,9.32,6000,major_purchase,36,A
34914,Charged Off,66516.0,Not Verified,10+ years,OTHER,11.26,18000,debt_consolidation,36,B
34930,Charged Off,58704.0,Source Verified,8 years,MORTGAGE,10.95,3000,major_purchase,36,B
34937,Charged Off,18000.0,Not Verified,2 years,RENT,14.74,2500,credit_card,36,D
34947,Charged Off,45000.0,Verified,10+ years,MORTGAGE,15.05,10000,debt_consolidation,36,D
34955,Charged Off,82654.6,Verified,2 years,RENT,13.79,20000,debt_consolidation,36,C
34957,Charged Off,70500.0,Source Verified,1 year,MORTGAGE,13.79,4000,medical,36,C
34965,Charged Off,50000.0,Not Verified,3 years,RENT,16.95,5000,small_business,36,E
34966,Charged Off,30000.0,Not Verified,< 1 year,MORTGAGE,9.63,4750,house,36,A
34968,Charged Off,41000.0,Not Verified,5 years,RENT,9.32,4000,debt_consolidation,36,A
34969,Charged Off,51480.0,Not Verified,10+ years,MORTGAGE,13.16,4400,debt_consolidation,36,C
34974,Charged Off,30000.0,Verified,< 1 year,OWN,12.53,5000,educational,36,C
34987,Charged Off,57000.0,Verified,10+ years,MORTGAGE,11.58,12000,debt_consolidation,36,B
34989,Charged Off,54000.0,Verified,9 years,RENT,13.79,14000,major_purchase,36,C
34998,Charged Off,62004.0,Not Verified,7 years,MORTGAGE,11.26,15000,debt_consolidation,36,B
35007,Charged Off,102000.0,Source Verified,10+ years,RENT,11.58,18000,house,36,B
35032,Charged Off,118000.0,Verified,10+ years,RENT,16.63,25000,small_business,36,E
35035,Charged Off,60000.0,Verified,5 years,MORTGAGE,12.21,20000,debt_consolidation,36,B
35049,Charged Off,237000.0,Verified,10+ years,MORTGAGE,16.95,9000,debt_consolidation,36,E
35065,Charged Off,35000.0,Not Verified,< 1 year,RENT,9.63,10800,debt_consolidation,36,A
35081,Charged Off,94000.0,Verified,5 years,MORTGAGE,12.84,8400,educational,36,C
35082,Charged Off,85000.0,Verified,1 year,OTHER,17.9,25000,small_business,36,F
35084,Charged Off,27996.0,Not Verified,< 1 year,RENT,9.63,4800,other,36,A
35096,Charged Off,230000.0,Source Verified,4 years,RENT,14.11,7000,credit_card,36,D
35103,Charged Off,94000.0,Verified,10+ years,RENT,20.11,16750,small_business,36,G
35106,Charged Off,67464.0,Not Verified,10+ years,MORTGAGE,12.53,4000,other,36,C
35107,Charged Off,88712.0,Verified,2 years,RENT,10.95,16000,educational,36,B
35144,Charged Off,36000.0,Not Verified,< 1 year,RENT,14.11,6000,debt_consolidation,36,D
35149,Charged Off,26000.0,Not Verified,1 year,RENT,11.58,2400,educational,36,B
35150,Charged Off,70000.0,Source Verified,1 year,RENT,11.58,18000,small_business,36,B
35154,Charged Off,52000.0,Verified,3 years,MORTGAGE,19.16,5000,small_business,36,G
35155,Charged Off,27000.0,Verified,< 1 year,RENT,15.05,5000,debt_consolidation,36,D
35176,Charged Off,60600.0,Verified,10+ years,MORTGAGE,11.89,20000,home_improvement,36,B
35178,Charged Off,30000.0,Verified,3 years,RENT,10.95,5600,educational,36,B
35188,Charged Off,84700.0,Verified,10+ years,MORTGAGE,7.68,7000,home_improvement,36,A
35191,Charged Off,35400.0,Not Verified,4 years,MORTGAGE,9.32,12000,credit_card,36,A
35195,Charged Off,75000.0,Verified,1 year,RENT,11.26,12000,small_business,36,B
35196,Charged Off,45896.0,Verified,< 1 year,MORTGAGE,9.63,9250,home_improvement,36,A
35197,Charged Off,33000.0,Not Verified,< 1 year,RENT,10.95,7800,debt_consolidation,36,B
35200,Charged Off,24000.0,Not Verified,< 1 year,RENT,16.0,2000,medical,36,E
35207,Charged Off,43600.0,Source Verified,10+ years,OWN,13.47,15000,home_improvement,36,C
35209,Charged Off,50960.0,Verified,< 1 year,MORTGAGE,10.95,5000,other,36,B
35243,Charged Off,33996.0,Not Verified,10+ years,RENT,8.0,7000,medical,36,A
35253,Charged Off,133228.0,Verified,10+ years,MORTGAGE,15.05,11600,credit_card,36,D
35256,Charged Off,93000.0,Verified,10+ years,RENT,16.95,21000,debt_consolidation,36,E
35265,Charged Off,43000.0,Not Verified,3 years,MORTGAGE,12.53,6000,debt_consolidation,36,C
35272,Charged Off,37000.0,Source Verified,5 years,RENT,11.58,14500,debt_consolidation,36,B
35273,Charged Off,32004.0,Not Verified,3 years,RENT,13.79,10000,house,36,C
35288,Charged Off,50000.0,Verified,4 years,MORTGAGE,14.74,16000,small_business,36,D
35290,Charged Off,14400.0,Not Verified,2 years,RENT,12.84,7000,other,36,C
35293,Charged Off,58500.0,Not Verified,10+ years,MORTGAGE,9.63,10000,other,36,A
35295,Charged Off,147000.0,Not Verified,1 year,RENT,12.21,3400,other,36,B
35302,Charged Off,72000.0,Verified,10+ years,RENT,12.21,20000,debt_consolidation,36,B
35306,Charged Off,45000.0,Not Verified,4 years,RENT,13.79,7000,credit_card,36,C
35341,Charged Off,52000.0,Source Verified,3 years,RENT,14.42,8000,debt_consolidation,36,D
35345,Charged Off,68654.0,Not Verified,4 years,MORTGAGE,14.74,6000,debt_consolidation,36,D
35362,Charged Off,180000.0,Verified,< 1 year,RENT,17.26,15000,debt_consolidation,36,F
35367,Charged Off,50004.0,Not Verified,2 years,RENT,12.84,9200,debt_consolidation,36,C
35372,Charged Off,42000.0,Source Verified,10+ years,OWN,11.89,4400,credit_card,36,B
35384,Charged Off,151016.08,Verified,5 years,RENT,15.37,25000,major_purchase,36,D
35388,Charged Off,45000.0,Verified,1 year,MORTGAGE,14.11,12000,credit_card,36,D
35390,Charged Off,33036.0,Source Verified,4 years,RENT,13.47,13800,debt_consolidation,36,C
35392,Charged Off,29000.0,Not Verified,2 years,RENT,12.84,2500,house,36,C
35401,Charged Off,62000.0,Not Verified,2 years,OWN,13.79,9800,debt_consolidation,36,C
35418,Charged Off,47244.0,Verified,8 years,MORTGAGE,11.58,11500,debt_consolidation,36,B
35428,Charged Off,55000.0,Verified,6 years,OWN,13.16,18500,debt_consolidation,36,C
35431,Charged Off,34000.0,Not Verified,7 years,OWN,12.53,8000,medical,36,C
35433,Charged Off,35004.0,Not Verified,< 1 year,RENT,13.79,5600,debt_consolidation,36,C
35447,Charged Off,98652.0,Verified,5 years,RENT,11.58,20000,credit_card,36,B
35452,Charged Off,53800.0,Verified,4 years,MORTGAGE,10.95,18000,home_improvement,36,B
35461,Charged Off,48100.0,Not Verified,1 year,MORTGAGE,11.89,20000,small_business,36,B
35475,Charged Off,33996.0,Not Verified,4 years,RENT,12.53,10000,medical,36,C
35481,Charged Off,36000.0,Verified,< 1 year,RENT,13.16,2500,other,36,C
35490,Charged Off,23587.0,Not Verified,4 years,RENT,11.89,2000,educational,36,B
35499,Charged Off,36000.0,Not Verified,< 1 year,MORTGAGE,9.63,12000,car,36,A
35509,Charged Off,48996.0,Not Verified,7 years,MORTGAGE,13.79,12000,debt_consolidation,36,C
35512,Charged Off,61200.0,Not Verified,1 year,MORTGAGE,15.68,15250,home_improvement,36,E
35542,Charged Off,30000.0,Source Verified,10+ years,RENT,12.84,5600,car,36,C
35563,Charged Off,42000.0,Not Verified,< 1 year,RENT,13.16,1500,vacation,36,C
35566,Charged Off,39996.0,Not Verified,3 years,MORTGAGE,11.26,9600,other,36,B
35572,Charged Off,47000.0,Not Verified,6 years,MORTGAGE,13.16,3200,debt_consolidation,36,C
35590,Charged Off,84000.0,Verified,9 years,MORTGAGE,11.26,25000,home_improvement,36,B
35596,Charged Off,50004.0,Verified,3 years,MORTGAGE,14.11,9000,debt_consolidation,36,D
35603,Charged Off,45000.0,Not Verified,3 years,RENT,12.84,7600,wedding,36,C
35604,Charged Off,31500.0,Source Verified,10+ years,RENT,12.84,6000,other,36,C
35625,Charged Off,25000.0,Verified,< 1 year,RENT,12.21,8500,other,36,B
35626,Charged Off,40000.0,Verified,8 years,MORTGAGE,14.11,6000,debt_consolidation,36,D
35632,Charged Off,90000.0,Verified,4 years,MORTGAGE,11.89,15250,small_business,36,B
35635,Charged Off,24000.0,Not Verified,10+ years,OWN,12.21,5000,debt_consolidation,36,B
35648,Charged Off,49580.0,Not Verified,5 years,MORTGAGE,12.21,6000,credit_card,36,B
35654,Charged Off,24996.0,Verified,1 year,OWN,11.26,8000,medical,36,B
35663,Charged Off,23148.0,Not Verified,< 1 year,RENT,10.95,8000,other,36,B
35666,Charged Off,175000.0,Verified,9 years,MORTGAGE,14.11,25000,small_business,36,D
35667,Charged Off,120000.0,Not Verified,10+ years,MORTGAGE,11.26,18000,debt_consolidation,36,B
35674,Charged Off,15000.0,Not Verified,8 years,RENT,12.21,3200,car,36,B
35678,Charged Off,8000.0,Not Verified,< 1 year,RENT,9.63,3250,debt_consolidation,36,A
35684,Charged Off,66000.0,Not Verified,3 years,RENT,13.47,3000,debt_consolidation,36,C
35685,Charged Off,140000.0,Verified,< 1 year,RENT,9.63,15000,small_business,36,A
35689,Charged Off,72800.0,Not Verified,3 years,MORTGAGE,9.63,12000,medical,36,A
35690,Charged Off,57000.0,Verified,2 years,MORTGAGE,9.63,1200,debt_consolidation,36,A
35692,Charged Off,43958.0,Not Verified,3 years,MORTGAGE,8.0,7000,major_purchase,36,A
35693,Charged Off,84996.0,Verified,6 years,RENT,14.11,22400,other,36,D
35704,Charged Off,35000.0,Verified,7 years,RENT,12.21,9000,house,36,B
35710,Charged Off,165000.0,Verified,1 year,MORTGAGE,14.74,23100,credit_card,36,D
35724,Charged Off,43700.0,Not Verified,7 years,MORTGAGE,11.58,9000,debt_consolidation,36,B
35735,Charged Off,72000.0,Verified,3 years,RENT,11.58,25000,wedding,36,B
35740,Charged Off,52000.0,Not Verified,2 years,MORTGAGE,12.53,4000,home_improvement,36,C
35747,Charged Off,30000.0,Verified,4 years,RENT,12.21,3000,debt_consolidation,36,B
35760,Charged Off,45000.0,Verified,2 years,RENT,13.16,10000,other,36,C
35761,Charged Off,87000.0,Not Verified,10+ years,RENT,11.89,6000,other,36,B
35780,Charged Off,57996.0,Source Verified,3 years,RENT,13.16,14500,debt_consolidation,36,C
35787,Charged Off,38213.0,Not Verified,3 years,MORTGAGE,13.47,8000,credit_card,36,C
35788,Charged Off,32108.0,Source Verified,4 years,RENT,15.68,2500,educational,36,E
35798,Charged Off,202000.0,Verified,5 years,MORTGAGE,17.58,22000,debt_consolidation,36,F
35814,Charged Off,63800.0,Verified,6 years,RENT,13.16,11200,small_business,36,C
35815,Charged Off,36000.0,Not Verified,10+ years,MORTGAGE,13.79,10000,home_improvement,36,C
35844,Charged Off,31200.0,Verified,4 years,RENT,8.0,10000,debt_consolidation,36,A
35850,Charged Off,73000.0,Source Verified,2 years,MORTGAGE,14.11,6500,home_improvement,36,D
35857,Charged Off,65000.0,Verified,2 years,RENT,16.0,18000,debt_consolidation,36,E
35888,Charged Off,98736.0,Not Verified,10+ years,OWN,11.89,9000,car,36,B
35890,Charged Off,58106.0,Verified,4 years,RENT,12.84,5000,car,36,C
35910,Charged Off,128000.0,Verified,< 1 year,MORTGAGE,12.53,3500,vacation,36,C
35916,Charged Off,25000.0,Not Verified,3 years,RENT,13.16,2000,debt_consolidation,36,C
35926,Charged Off,60000.0,Not Verified,8 years,MORTGAGE,14.42,1500,medical,36,D
35928,Charged Off,76000.0,Verified,1 year,MORTGAGE,13.79,25000,home_improvement,36,C
35929,Charged Off,26000.0,Not Verified,10+ years,RENT,16.63,10000,house,36,E
35936,Charged Off,91992.0,Source Verified,2 years,MORTGAGE,12.53,9000,home_improvement,36,C
35942,Charged Off,38000.0,Not Verified,5 years,RENT,9.63,4500,other,36,A
35943,Charged Off,60000.0,Verified,3 years,MORTGAGE,14.42,15250,debt_consolidation,36,D
35954,Charged Off,45000.0,Source Verified,1 year,RENT,14.11,10000,debt_consolidation,36,D
35956,Charged Off,40000.0,Not Verified,3 years,OTHER,15.68,9600,other,36,E
35960,Charged Off,92000.0,Verified,< 1 year,OWN,14.11,12000,small_business,36,D
35961,Charged Off,37800.0,Verified,1 year,OTHER,12.53,10000,car,36,C
35969,Charged Off,121900.0,Verified,9 years,MORTGAGE,13.47,15000,educational,36,C
35974,Charged Off,70000.0,Not Verified,10+ years,RENT,15.68,11000,home_improvement,36,E
35981,Charged Off,100000.0,Source Verified,4 years,MORTGAGE,14.11,10000,debt_consolidation,36,D
35986,Charged Off,57000.0,Not Verified,2 years,RENT,14.74,5000,educational,36,D
35999,Charged Off,50000.0,Source Verified,2 years,MORTGAGE,16.0,15000,small_business,36,E
36000,Charged Off,48000.0,Verified,10+ years,RENT,16.32,10000,debt_consolidation,36,E
36005,Charged Off,115000.0,Verified,6 years,RENT,12.53,25000,wedding,36,C
36015,Charged Off,107028.0,Verified,2 years,RENT,14.42,5000,small_business,36,D
36018,Charged Off,65000.0,Not Verified,3 years,MORTGAGE,14.11,19750,debt_consolidation,36,D
36020,Charged Off,24000.0,Not Verified,4 years,RENT,13.16,12250,small_business,36,C
36025,Charged Off,35000.0,Not Verified,6 years,MORTGAGE,12.53,5600,major_purchase,36,C
36037,Charged Off,22000.0,Not Verified,1 year,OWN,15.05,8500,debt_consolidation,36,D
36043,Charged Off,97992.0,Not Verified,10+ years,MORTGAGE,14.74,3500,other,36,D
36051,Charged Off,30000.0,Not Verified,< 1 year,RENT,15.05,13750,small_business,36,D
36054,Charged Off,12000.0,Not Verified,5 years,MORTGAGE,15.68,3250,educational,36,E
36059,Charged Off,265000.0,Source Verified,5 years,MORTGAGE,17.26,25000,debt_consolidation,36,F
36064,Charged Off,69996.0,Verified,5 years,MORTGAGE,7.68,12000,car,36,A
36065,Charged Off,65004.0,Source Verified,1 year,MORTGAGE,7.37,8000,car,36,A
36066,Charged Off,60000.0,Not Verified,5 years,RENT,15.37,3000,wedding,36,D
36076,Charged Off,25568.0,Source Verified,7 years,MORTGAGE,13.47,12000,debt_consolidation,36,C
36077,Charged Off,160000.0,Verified,6 years,MORTGAGE,14.11,10000,vacation,36,D
36078,Charged Off,63504.0,Verified,2 years,RENT,9.32,16500,car,36,A
36085,Charged Off,41700.0,Not Verified,7 years,MORTGAGE,12.21,7750,credit_card,36,B
36091,Charged Off,125000.0,Verified,5 years,MORTGAGE,13.16,25000,credit_card,36,C
36121,Charged Off,45000.0,Verified,5 years,RENT,13.79,8400,debt_consolidation,36,C
36125,Charged Off,40000.0,Source Verified,2 years,RENT,12.53,7500,small_business,36,C
36126,Charged Off,54996.0,Not Verified,< 1 year,MORTGAGE,14.11,8500,home_improvement,36,D
36135,Charged Off,38004.0,Verified,2 years,RENT,14.74,1500,other,36,D
36141,Charged Off,75000.0,Not Verified,3 years,MORTGAGE,13.16,8500,debt_consolidation,36,C
36149,Charged Off,62000.0,Source Verified,7 years,RENT,16.0,15000,debt_consolidation,36,E
36155,Charged Off,31400.0,Not Verified,1 year,RENT,9.32,6500,debt_consolidation,36,A
36164,Charged Off,13000.0,Not Verified,< 1 year,RENT,12.53,9250,small_business,36,C
36170,Charged Off,36900.0,Source Verified,1 year,RENT,9.63,5775,medical,36,A
36174,Charged Off,53004.0,Not Verified,7 years,RENT,12.53,12000,debt_consolidation,36,C
36183,Charged Off,37000.0,Not Verified,3 years,MORTGAGE,14.42,12000,debt_consolidation,36,D
36185,Charged Off,51996.0,Not Verified,2 years,MORTGAGE,13.16,17000,debt_consolidation,36,C
36188,Charged Off,57000.0,Verified,2 years,MORTGAGE,15.68,10000,home_improvement,36,E
36256,Charged Off,92004.0,Not Verified,8 years,MORTGAGE,8.0,6000,debt_consolidation,36,A
36260,Charged Off,39996.0,Not Verified,10+ years,RENT,10.95,8000,car,36,B
36278,Charged Off,60000.0,Source Verified,9 years,MORTGAGE,9.63,10000,debt_consolidation,36,A
36282,Charged Off,30000.0,Source Verified,1 year,RENT,9.63,10000,debt_consolidation,36,A
36293,Charged Off,184000.0,Verified,6 years,MORTGAGE,13.47,20000,debt_consolidation,36,C
36311,Charged Off,17004.0,Source Verified,8 years,RENT,9.32,2200,debt_consolidation,36,A
36318,Charged Off,24840.0,Not Verified,2 years,RENT,8.0,1500,other,36,A
36323,Charged Off,36000.0,Not Verified,10+ years,RENT,14.74,6000,small_business,36,D
36324,Charged Off,60000.0,Not Verified,1 year,RENT,14.42,10000,small_business,36,D
36340,Charged Off,36000.0,Not Verified,1 year,RENT,13.16,6000,debt_consolidation,36,C
36341,Charged Off,50004.0,Verified,< 1 year,RENT,13.79,5000,major_purchase,36,C
36342,Charged Off,45000.0,Not Verified,4 years,OWN,12.84,20000,debt_consolidation,36,C
36347,Charged Off,85000.0,Not Verified,8 years,MORTGAGE,12.53,9325,small_business,36,C
36358,Charged Off,49400.0,Verified,2 years,RENT,16.63,18000,wedding,36,E
36366,Charged Off,51996.0,Verified,9 years,RENT,12.21,3500,other,36,B
36376,Charged Off,75000.0,Not Verified,2 years,RENT,11.89,16000,medical,36,B
36381,Charged Off,60000.0,Source Verified,10+ years,RENT,12.84,5000,small_business,36,C
36382,Charged Off,36000.0,Not Verified,< 1 year,MORTGAGE,9.32,1000,other,36,A
36392,Charged Off,10000.0,Not Verified,2 years,RENT,14.11,1200,debt_consolidation,36,D
36393,Charged Off,52000.0,Verified,10+ years,MORTGAGE,9.32,8725,small_business,36,A
36395,Charged Off,37008.0,Verified,2 years,RENT,13.79,12000,debt_consolidation,36,C
36412,Charged Off,82042.0,Verified,6 years,RENT,15.05,20000,debt_consolidation,36,D
36425,Charged Off,80000.0,Verified,< 1 year,RENT,13.79,16000,credit_card,36,C
36430,Charged Off,76000.0,Verified,7 years,RENT,13.16,20000,wedding,36,C
36431,Charged Off,25000.0,Source Verified,< 1 year,RENT,14.42,6950,credit_card,36,D
36436,Charged Off,72000.0,Not Verified,10+ years,RENT,15.05,2475,debt_consolidation,36,D
36442,Charged Off,43000.0,Verified,4 years,RENT,9.63,12000,credit_card,36,A
36480,Charged Off,60000.0,Verified,7 years,OTHER,16.32,16000,credit_card,36,E
36496,Charged Off,53400.0,Verified,2 years,RENT,14.42,14000,credit_card,36,D
36499,Charged Off,54000.0,Not Verified,7 years,RENT,15.05,9000,credit_card,36,D
36506,Charged Off,36000.0,Not Verified,4 years,RENT,15.05,8500,debt_consolidation,36,D
36507,Charged Off,48000.0,Not Verified,5 years,OTHER,11.89,7800,credit_card,36,B
36510,Charged Off,55000.0,Not Verified,10+ years,MORTGAGE,8.0,10000,other,36,A
36511,Charged Off,24996.0,Not Verified,2 years,RENT,11.89,3000,debt_consolidation,36,B
36516,Charged Off,51996.0,Verified,1 year,RENT,13.47,13000,debt_consolidation,36,C
36529,Charged Off,68496.0,Source Verified,6 years,RENT,11.89,10000,home_improvement,36,B
36537,Charged Off,59950.0,Verified,8 years,MORTGAGE,16.63,15000,debt_consolidation,36,E
36548,Charged Off,15000.0,Not Verified,3 years,RENT,16.95,4800,educational,36,E
36553,Charged Off,24900.0,Source Verified,1 year,MORTGAGE,13.16,5500,home_improvement,36,C
36560,Charged Off,21000.0,Verified,6 years,RENT,11.89,6500,debt_consolidation,36,B
36565,Charged Off,26300.0,Not Verified,1 year,RENT,13.47,7500,small_business,36,C
36574,Charged Off,57780.0,Verified,8 years,RENT,13.47,12000,debt_consolidation,36,C
36575,Charged Off,78996.0,Verified,4 years,RENT,9.63,10000,debt_consolidation,36,A
36586,Charged Off,80000.0,Verified,4 years,MORTGAGE,15.05,15000,small_business,36,D
36590,Charged Off,60000.0,Not Verified,6 years,RENT,13.79,10000,debt_consolidation,36,C
36600,Charged Off,60000.0,Verified,< 1 year,RENT,13.47,4000,debt_consolidation,36,C
36606,Charged Off,85008.0,Verified,4 years,MORTGAGE,15.68,15000,debt_consolidation,36,E
36631,Charged Off,33996.0,Not Verified,1 year,RENT,13.16,7000,debt_consolidation,36,C
36637,Charged Off,95004.0,Verified,8 years,RENT,13.47,15000,debt_consolidation,36,C
36641,Charged Off,83000.0,Verified,3 years,MORTGAGE,12.21,10800,debt_consolidation,36,B
36643,Charged Off,64992.0,Source Verified,< 1 year,RENT,12.84,3000,moving,36,C
36645,Charged Off,71000.0,Verified,10+ years,RENT,16.32,15000,small_business,36,E
36653,Charged Off,87000.0,Not Verified,9 years,MORTGAGE,13.79,14000,debt_consolidation,36,C
36665,Charged Off,81000.0,Not Verified,8 years,MORTGAGE,13.16,12000,debt_consolidation,36,C
36677,Charged Off,50000.0,Verified,< 1 year,MORTGAGE,12.53,12000,debt_consolidation,36,C
36681,Charged Off,60000.0,Not Verified,2 years,RENT,14.11,15000,debt_consolidation,36,D
36740,Charged Off,45000.0,Verified,1 year,RENT,14.42,7500,debt_consolidation,36,D
36747,Charged Off,25000.0,Not Verified,3 years,RENT,14.11,10000,debt_consolidation,36,D
36752,Charged Off,30000.0,Verified,< 1 year,RENT,14.74,14125,debt_consolidation,36,D
36755,Charged Off,88268.0,Verified,10+ years,MORTGAGE,11.89,15000,debt_consolidation,36,B
36759,Charged Off,22000.0,Source Verified,3 years,RENT,16.32,5000,debt_consolidation,36,E
36776,Charged Off,110000.0,Verified,10+ years,MORTGAGE,10.95,15000,small_business,36,B
36777,Charged Off,135000.0,Verified,8 years,RENT,15.37,15000,debt_consolidation,36,D
36787,Charged Off,140000.0,Verified,4 years,MORTGAGE,11.58,10000,debt_consolidation,36,B
36788,Charged Off,32000.0,Source Verified,1 year,MORTGAGE,7.68,2500,debt_consolidation,36,A
36796,Charged Off,69000.0,Not Verified,1 year,RENT,12.21,1600,debt_consolidation,36,B
36803,Charged Off,70000.0,Verified,10+ years,OTHER,9.63,15000,home_improvement,36,A
36828,Charged Off,65004.0,Verified,10+ years,MORTGAGE,14.74,15000,debt_consolidation,36,D
36830,Charged Off,60000.0,Source Verified,10+ years,RENT,12.53,3800,other,36,C
36837,Charged Off,54000.0,Not Verified,1 year,RENT,9.32,3000,credit_card,36,A
36838,Charged Off,90000.0,Not Verified,10+ years,MORTGAGE,9.63,10000,other,36,A
36839,Charged Off,30992.0,Not Verified,3 years,MORTGAGE,11.58,8000,credit_card,36,B
36844,Charged Off,76000.0,Not Verified,4 years,MORTGAGE,13.16,15000,debt_consolidation,36,C
36845,Charged Off,95000.0,Not Verified,10+ years,RENT,15.05,9000,house,36,D
36846,Charged Off,37000.0,Not Verified,1 year,RENT,11.89,3000,credit_card,36,B
36848,Charged Off,51063.0,Not Verified,7 years,RENT,15.05,7500,debt_consolidation,36,D
36852,Charged Off,70000.0,Not Verified,10+ years,RENT,9.63,10000,debt_consolidation,36,A
36855,Charged Off,110000.0,Not Verified,1 year,MORTGAGE,9.63,9000,credit_card,36,A
36857,Charged Off,43000.0,Not Verified,< 1 year,MORTGAGE,12.53,8500,debt_consolidation,36,C
36864,Charged Off,60000.0,Not Verified,2 years,MORTGAGE,11.89,8000,debt_consolidation,36,B
36877,Charged Off,72000.0,Source Verified,10+ years,OTHER,11.58,15000,small_business,36,B
36891,Charged Off,50000.0,Not Verified,10+ years,MORTGAGE,11.26,8600,other,36,B
36896,Charged Off,50000.0,Not Verified,< 1 year,RENT,8.0,2000,debt_consolidation,36,A
36902,Charged Off,45000.0,Verified,1 year,MORTGAGE,18.21,5000,debt_consolidation,36,F
36913,Charged Off,44004.0,Not Verified,2 years,RENT,12.53,1500,other,36,C
36931,Charged Off,70000.0,Not Verified,1 year,RENT,11.58,12000,small_business,36,B
36939,Charged Off,30000.0,Verified,< 1 year,RENT,13.67,12250,debt_consolidation,36,D
36950,Charged Off,39996.0,Not Verified,10+ years,RENT,13.47,4000,debt_consolidation,36,C
36966,Charged Off,51000.0,Not Verified,10+ years,MORTGAGE,14.74,10000,debt_consolidation,36,D
36973,Charged Off,180000.0,Source Verified,3 years,MORTGAGE,11.26,9950,small_business,36,B
36974,Charged Off,60000.0,Not Verified,10+ years,RENT,14.11,10000,debt_consolidation,36,D
36975,Charged Off,36000.0,Not Verified,1 year,RENT,13.16,7500,small_business,36,C
36982,Charged Off,66000.0,Verified,9 years,MORTGAGE,12.21,10000,small_business,36,B
36985,Charged Off,73700.0,Not Verified,10+ years,MORTGAGE,14.11,15000,debt_consolidation,36,D
36986,Charged Off,102000.0,Verified,5 years,MORTGAGE,12.84,19200,debt_consolidation,36,C
36987,Charged Off,45000.0,Not Verified,8 years,RENT,14.42,7000,debt_consolidation,36,D
36988,Charged Off,163900.0,Verified,10+ years,MORTGAGE,11.26,20000,small_business,36,B
36989,Charged Off,63000.0,Not Verified,3 years,MORTGAGE,15.68,10000,small_business,36,E
37015,Charged Off,16000.0,Not Verified,1 year,RENT,14.42,2450,debt_consolidation,36,D
37021,Charged Off,40000.0,Not Verified,< 1 year,RENT,13.79,10000,debt_consolidation,36,C
37023,Charged Off,38004.0,Not Verified,4 years,RENT,11.26,6000,educational,36,B
37037,Charged Off,18000.0,Verified,8 years,RENT,12.21,6000,other,36,B
37044,Charged Off,24449.16,Not Verified,2 years,OWN,11.89,1800,other,36,B
37051,Charged Off,130068.0,Not Verified,< 1 year,RENT,10.51,4000,other,36,B
37056,Charged Off,130000.0,Verified,1 year,MORTGAGE,11.78,25000,debt_consolidation,36,C
37062,Charged Off,180000.0,Verified,3 years,MORTGAGE,10.83,24000,small_business,36,B
37066,Charged Off,113000.0,Verified,10+ years,MORTGAGE,17.46,25000,credit_card,36,F
37075,Charged Off,50004.0,Verified,2 years,RENT,11.46,7000,debt_consolidation,36,B
37076,Charged Off,63175.25,Not Verified,6 years,RENT,17.15,16000,debt_consolidation,36,F
37078,Charged Off,75000.0,Verified,2 years,RENT,10.2,12000,credit_card,36,B
37089,Charged Off,40000.0,Not Verified,8 years,MORTGAGE,10.51,3000,debt_consolidation,36,B
37107,Charged Off,90000.0,Verified,7 years,MORTGAGE,11.78,9000,small_business,36,C
37109,Charged Off,63000.0,Not Verified,7 years,RENT,12.41,4800,credit_card,36,C
37111,Charged Off,79000.0,Verified,< 1 year,RENT,14.3,8550,debt_consolidation,36,D
37113,Charged Off,39288.0,Source Verified,2 years,RENT,12.09,10800,debt_consolidation,36,C
37140,Charged Off,90000.0,Not Verified,7 years,MORTGAGE,9.38,18000,small_business,36,A
37143,Charged Off,25000.0,Verified,1 year,MORTGAGE,12.09,12000,debt_consolidation,36,C
37144,Charged Off,69508.0,Not Verified,10+ years,MORTGAGE,11.14,2500,educational,36,B
37149,Charged Off,88000.0,Not Verified,5 years,MORTGAGE,12.41,5000,credit_card,36,C
37160,Charged Off,76000.0,Not Verified,4 years,RENT,11.46,3700,small_business,36,B
37164,Charged Off,41760.0,Not Verified,10+ years,MORTGAGE,14.93,2400,debt_consolidation,36,E
37165,Charged Off,52000.0,Verified,10+ years,RENT,11.78,20000,debt_consolidation,36,C
37166,Charged Off,128000.0,Source Verified,4 years,MORTGAGE,13.36,25000,small_business,36,D
37175,Charged Off,60000.0,Not Verified,8 years,MORTGAGE,18.72,24000,debt_consolidation,36,G
37190,Charged Off,80000.0,Not Verified,1 year,MORTGAGE,11.46,8000,debt_consolidation,36,B
37200,Charged Off,123000.0,Not Verified,2 years,MORTGAGE,19.04,12500,other,36,G
37204,Charged Off,85000.0,Not Verified,6 years,MORTGAGE,13.36,21000,debt_consolidation,36,D
37209,Charged Off,36000.0,Verified,1 year,RENT,11.14,14500,credit_card,36,B
37211,Charged Off,40000.0,Not Verified,8 years,RENT,10.83,2400,credit_card,36,B
37220,Charged Off,48500.0,Verified,10+ years,MORTGAGE,15.57,7000,debt_consolidation,36,E
37222,Charged Off,15000.0,Not Verified,2 years,RENT,13.67,4000,car,36,D
37226,Charged Off,64000.0,Not Verified,4 years,MORTGAGE,13.99,15000,home_improvement,36,D
37233,Charged Off,87000.0,Not Verified,4 years,RENT,11.14,8400,educational,36,B
37246,Charged Off,33996.0,Verified,1 year,RENT,10.51,8000,major_purchase,36,B
